date,hospital,patient_count,wait_time,occupancy_rate
2018-01-01,AH,,,0.399
2018-01-01,CGH,,,0.813
2018-01-01,KTPH,,,0.968
2018-01-01,NTFGH,,,0.789
2018-01-01,NUH(A),,,0.735
2018-01-01,SGH,,,0.743
2018-01-01,TTSH,,,0.936
2018-01-02,AH,,,0.382
2018-01-02,CGH,,,0.858
2018-01-02,KTPH,,,1.0
2018-01-02,NTFGH,,,0.847
2018-01-02,NUH(A),,,0.784
2018-01-02,SGH,,,0.838
2018-01-02,TTSH,,,0.934
2018-01-03,AH,,,0.399
2018-01-03,CGH,,,0.864
2018-01-03,KTPH,,,0.999
2018-01-03,NTFGH,,,0.875
2018-01-03,NUH(A),,,0.831
2018-01-03,SGH,,,0.881
2018-01-03,TTSH,,,0.925
2018-01-04,AH,,,0.424
2018-01-04,CGH,,,0.855
2018-01-04,KTPH,,,1.0
2018-01-04,NTFGH,,,0.871
2018-01-04,NUH(A),,,0.826
2018-01-04,SGH,,,0.875
2018-01-04,TTSH,,,0.919
2018-01-05,AH,,,0.429
2018-01-05,CGH,,,0.844
2018-01-05,KTPH,,,1.0
2018-01-05,NTFGH,,,0.843
2018-01-05,NUH(A),,,0.798
2018-01-05,SGH,,,0.848
2018-01-05,TTSH,,,0.905
2018-01-06,AH,,,0.433
2018-01-06,CGH,,,0.83
2018-01-06,KTPH,,,0.972
2018-01-06,NTFGH,,,0.845
2018-01-06,NUH(A),,,0.763
2018-01-06,SGH,,,0.829
2018-01-06,TTSH,,,0.887
2018-01-07,AH,,,0.454
2018-01-07,CGH,,,0.862
2018-01-07,KTPH,,,0.997
2018-01-07,NTFGH,,,0.886
2018-01-07,NUH(A),,,0.772
2018-01-07,SGH,,,0.85
2018-01-07,TTSH,,,0.929
2018-01-08,AH,,,0.462
2018-01-08,CGH,,,0.881
2018-01-08,KTPH,,,1.0
2018-01-08,NTFGH,,,0.924
2018-01-08,NUH(A),,,0.835
2018-01-08,SGH,,,0.877
2018-01-08,TTSH,,,0.914
2018-01-09,AH,,,0.559
2018-01-09,CGH,,,0.875
2018-01-09,KTPH,,,0.999
2018-01-09,NTFGH,,,0.892
2018-01-09,NUH(A),,,0.853
2018-01-09,SGH,,,0.889
2018-01-09,TTSH,,,0.941
2018-01-10,AH,,,0.555
2018-01-10,CGH,,,0.866
2018-01-10,KTPH,,,0.972
2018-01-10,NTFGH,,,0.896
2018-01-10,NUH(A),,,0.848
2018-01-10,SGH,,,0.893
2018-01-10,TTSH,,,0.923
2018-01-11,AH,,,0.513
2018-01-11,CGH,,,0.863
2018-01-11,KTPH,,,0.947
2018-01-11,NTFGH,,,0.832
2018-01-11,NUH(A),,,0.864
2018-01-11,SGH,,,0.883
2018-01-11,TTSH,,,0.922
2018-01-12,AH,,,0.45
2018-01-12,CGH,,,0.802
2018-01-12,KTPH,,,0.9
2018-01-12,NTFGH,,,0.782
2018-01-12,NUH(A),,,0.827
2018-01-12,SGH,,,0.831
2018-01-12,TTSH,,,0.862
2018-01-13,AH,,,0.454
2018-01-13,CGH,,,0.805
2018-01-13,KTPH,,,0.87
2018-01-13,NTFGH,,,0.771
2018-01-13,NUH(A),,,0.793
2018-01-13,SGH,,,0.778
2018-01-13,TTSH,,,0.864
2018-01-14,AH,,,0.5
2018-01-14,CGH,,,0.86
2018-01-14,KTPH,,,0.885
2018-01-14,NTFGH,,,0.814
2018-01-14,NUH(A),,,0.817
2018-01-14,SGH,,,0.805
2018-01-14,TTSH,,,0.915
2018-01-15,AH,,,0.466
2018-01-15,CGH,,,0.871
2018-01-15,KTPH,,,0.956
2018-01-15,NTFGH,,,0.876
2018-01-15,NUH(A),,,0.872
2018-01-15,SGH,,,0.881
2018-01-15,TTSH,,,0.925
2018-01-16,AH,,,0.462
2018-01-16,CGH,,,0.869
2018-01-16,KTPH,,,0.975
2018-01-16,NTFGH,,,0.884
2018-01-16,NUH(A),,,0.881
