date,hospital,wait_time
2023-01-01,AH,1.6
2023-01-02,AH,2.0
2023-01-03,AH,2.07
2023-01-04,AH,2.51
2023-01-05,AH,2.37
2023-01-06,AH,2.825
2023-01-07,AH,1.3
2023-01-08,AH,1.2
2023-01-09,AH,3.27
2023-01-10,AH,9.02
2023-01-11,AH,2.15
2023-01-12,AH,2.38
2023-01-13,AH,1.44
2023-01-14,AH,1.21
2023-01-15,AH,1.42
2023-01-16,AH,2.7350000000000003
2023-01-17,AH,1.48
2023-01-18,AH,1.045
2023-01-19,AH,1.2650000000000001
2023-01-20,AH,1.59
2023-01-21,AH,1.27
2023-01-22,AH,0.7333333333333333
2023-01-23,AH,0.9416666666666667
2023-01-24,AH,1.1333333333333333
2023-01-25,AH,1.0666666666666667
2023-01-26,AH,1.3833333333333333
2023-01-27,AH,1.6833333333333333
2023-01-28,AH,1.6583333333333334
2023-01-29,AH,1.83
2023-01-30,AH,1.72
2023-01-31,AH,1.12
2023-02-01,AH,1.8
2023-02-02,AH,2.63
2023-02-03,AH,2.625
2023-02-04,AH,1.77
2023-02-05,AH,2.0
2023-02-06,AH,1.38
2023-02-07,AH,8.93
2023-02-08,AH,3.43
2023-02-09,AH,3.72
2023-02-10,AH,9.96
2023-02-11,AH,4.01
2023-02-12,AH,5.88
2023-02-13,AH,6.6899999999999995
2023-02-14,AH,5.22
2023-02-15,AH,2.77
2023-02-16,AH,4.05
2023-02-17,AH,4.03
2023-02-18,AH,3.35
2023-02-19,AH,2.4833333333333334
2023-02-20,AH,7.5
2023-02-21,AH,4.591666666666667
2023-02-22,AH,2.533333333333333
2023-02-23,AH,2.15
2023-02-24,AH,1.7166666666666666
2023-02-25,AH,1.45
2023-02-26,AH,1.38
2023-02-27,AH,2.13
2023-02-28,AH,1.35
2023-03-01,AH,3.04
2023-03-02,AH,2.47
2023-03-03,AH,1.475
2023-03-04,AH,0.75
2023-03-05,AH,1.62
2023-03-06,AH,2.32
2023-03-07,AH,3.1
2023-03-08,AH,2.95
2023-03-09,AH,2.65
2023-03-10,AH,1.71
2023-03-11,AH,2.79
2023-03-12,AH,1.655
2023-03-13,AH,2.83
2023-03-14,AH,4.78
2023-03-15,AH,2.3
2023-03-16,AH,1.775
2023-03-17,AH,0.98
2023-03-18,AH,1.35
2023-03-19,AH,1.5
2023-03-20,AH,1.7
2023-03-21,AH,1.8
2023-03-22,AH,2.3
2023-03-23,AH,2.0
2023-03-24,AH,1.4
2023-03-25,AH,1.8
2023-03-26,AH,2.63
2023-03-27,AH,3.05
2023-03-28,AH,2.0149999999999997
2023-03-29,AH,2.66
2023-03-30,AH,1.585
2023-03-31,AH,1.6949999999999998
2023-04-01,AH,1.27
2023-04-02,AH,3.76
2023-04-03,AH,3.01
2023-04-04,AH,3.5
2023-04-05,AH,1.78
2023-04-06,AH,1.42
2023-04-07,AH,1.83
2023-04-08,AH,1.14
2023-04-09,AH,3.01
2023-04-10,AH,3.01
2023-04-11,AH,3.01
2023-04-12,AH,3.01
2023-04-13,AH,3.01
2023-04-14,AH,3.01
2023-04-15,AH,3.01
2023-04-16,AH,1.67
2023-04-17,AH,3.22
2023-04-18,AH,2.89
2023-04-19,AH,2.67
2023-04-20,AH,1.83
2023-04-21,AH,1.55
2023-04-22,AH,1.59
2023-04-23,AH,2.12
2023-04-24,AH,2.48
2023-04-25,AH,6.535
2023-04-26,AH,2.15
2023-04-27,AH,2.5
2023-04-28,AH,2.98
2023-04-29,AH,1.82
2023-04-30,AH,7.24
2023-05-01,AH,1.75
2023-05-02,AH,1.54
2023-05-03,AH,2.08
2023-05-04,AH,5.49
2023-05-05,AH,1.95
2023-05-06,AH,2.02
2023-05-07,AH,1.78
2023-05-08,AH,2.23
2023-05-09,AH,1.32
2023-05-10,AH,1.92
2023-05-11,AH,1.38
2023-05-12,AH,2.52
